training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
2.2559743,-2.2559743,0.41809723,1.0,0.14428595,-0.078087,2.1239069,2.233429,-2.233429,0.39555204,1.0,0.0014929030895233155,7.464519739151001,5000
2.226632,-2.226632,0.38875508,1.0,0.06838157,-0.06720984,1.5072467,2.2332187,-2.2332187,0.39534143,1.0,0.0011861522674560547,13.395282506942749,10000
2.216976,-2.216976,0.379099,1.0,0.11757522,-0.08872023,1.3013908,2.2307985,-2.2307985,0.3929214,1.0,0.0011681043148040772,19.23580527305603,15000
2.2375991,-2.2375991,0.39972216,1.0,0.1455329,-0.07474258,1.8907014,2.2283816,-2.2283816,0.39050448,1.0,0.0011752844333648683,25.112228631973267,20000
2.1986694,-2.1986694,0.36079252,1.0,0.052938867,-0.20014912,2.1004615,2.230813,-2.230813,0.392936,1.0,0.0011689938068389892,30.95719861984253,25000
2.2155294,-2.2155294,0.3776523,1.0,0.07655302,-0.10541608,1.6025989,2.2264457,-2.2264457,0.3885684,1.0,0.001169247007369995,36.8034348487854,30000
2.207367,-2.207367,0.36948994,1.0,0.12215899,-0.124943554,2.2266037,2.2541418,-2.2541418,0.41626462,1.0,0.0011708877563476562,42.657874584198,35000
2.2272208,-2.2272208,0.38934362,1.0,0.117485404,-0.08978546,2.1639795,2.20792,-2.20792,0.37004292,1.0,0.001169156837463379,48.50365972518921,40000
2.2243793,-2.2243793,0.38650227,1.0,0.15794323,-0.14061785,2.4617105,2.208051,-2.208051,0.37017387,1.0,0.0011723581314086913,54.36545181274414,45000
2.1966228,-2.1966228,0.35874575,1.0,0.11755002,-0.124649525,2.057573,2.2006252,-2.2006252,0.3627481,1.0,0.0011754036903381347,60.24247121810913,50000
2.2184813,-2.2184813,0.38060442,1.0,0.16444236,-0.106955975,2.6013453,2.2005296,-2.2005296,0.36265242,1.0,0.0011683135986328124,66.08404016494751,55000
2.1866338,-2.1866338,0.3487569,1.0,0.12978247,-0.14298719,2.223853,2.2015698,-2.2015698,0.3636927,1.0,0.0011718029499053954,71.9430558681488,60000
2.2111557,-2.2111557,0.3732786,1.0,0.13898866,-0.12717041,2.347856,2.23586,-2.23586,0.3979829,1.0,0.0011685805797576904,77.78595995903015,65000
2.2168038,-2.2168038,0.3789268,1.0,0.11650542,-0.2116379,2.3816686,2.2230039,-2.2230039,0.38512683,1.0,0.001171570920944214,83.6438159942627,70000
2.2027223,-2.2027223,0.36484525,1.0,0.12651558,-0.16842575,2.0080743,2.2250173,-2.2250173,0.3871404,1.0,0.0011729058265686036,89.50834631919861,75000
