step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
400000,100,0.5519999999999999,0.78,0.64,0.38,0.4,0.56
500000,100,0.488,0.76,0.6,0.34,0.26,0.48
450000,100,0.44400000000000006,0.66,0.54,0.2,0.24,0.58
350000,100,0.44800000000000006,0.68,0.38,0.32,0.3,0.56
450000,0,0.344,0.48,0.2,0.18,0.34,0.52
400000,0,0.344,0.58,0.38,0.22,0.22,0.32
350000,0,0.236,0.14,0.06,0.26,0.28,0.44
300000,0,0.336,0.24,0.22,0.28,0.28,0.66
500000,10,0.45200000000000007,0.64,0.46,0.2,0.3,0.66
300000,20,0.488,0.58,0.68,0.14,0.34,0.7
350000,20,0.484,0.7,0.56,0.3,0.18,0.68
300000,50,0.496,0.66,0.58,0.2,0.42,0.62
350000,50,0.484,0.66,0.64,0.26,0.28,0.58
450000,10,0.4640000000000001,0.7,0.54,0.28,0.14,0.66
400000,10,0.44400000000000006,0.62,0.54,0.22,0.22,0.62
300000,10,0.45200000000000007,0.54,0.56,0.22,0.28,0.66
500000,50,0.4600000000000001,0.68,0.56,0.26,0.32,0.48
350000,10,0.41200000000000003,0.54,0.36,0.2,0.36,0.6
300000,100,0.492,0.78,0.44,0.36,0.26,0.62
350000,200,0.46799999999999997,0.6,0.46,0.42,0.34,0.52
300000,200,0.5080000000000001,0.68,0.56,0.28,0.34,0.68
400000,200,0.504,0.6,0.6,0.46,0.26,0.6
500000,20,0.5,0.66,0.58,0.28,0.28,0.7
500000,200,0.44000000000000006,0.64,0.5,0.4,0.16,0.5
450000,200,0.46799999999999997,0.58,0.58,0.36,0.26,0.56
