step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
450000,0,0.42000000000000004,0.54,0.26,0.28,0.4,0.62
500000,0,0.332,0.44,0.12,0.3,0.38,0.42
400000,0,0.36400000000000005,0.56,0.46,0.14,0.26,0.4
300000,0,0.27199999999999996,0.12,0.22,0.32,0.18,0.52
350000,0,0.26,0.2,0.16,0.24,0.38,0.32
300000,10,0.4,0.42,0.36,0.28,0.54,0.4
350000,10,0.34400000000000003,0.4,0.24,0.28,0.4,0.4
450000,10,0.35600000000000004,0.5,0.22,0.34,0.34,0.38
500000,10,0.4,0.52,0.36,0.3,0.38,0.44
400000,10,0.332,0.4,0.3,0.3,0.3,0.36
350000,20,0.43599999999999994,0.32,0.4,0.42,0.52,0.52
500000,20,0.36000000000000004,0.54,0.24,0.3,0.34,0.38
450000,20,0.376,0.48,0.28,0.36,0.38,0.38
300000,20,0.364,0.42,0.28,0.34,0.36,0.42
400000,20,0.388,0.48,0.38,0.32,0.44,0.32
300000,50,0.44000000000000006,0.44,0.34,0.54,0.4,0.48
350000,50,0.42799999999999994,0.52,0.44,0.24,0.46,0.48
400000,50,0.43199999999999994,0.5,0.44,0.36,0.38,0.48
450000,50,0.43200000000000005,0.56,0.32,0.24,0.52,0.52
500000,50,0.4,0.44,0.34,0.36,0.36,0.5
350000,100,0.524,0.5,0.5,0.38,0.6,0.64
300000,100,0.516,0.58,0.48,0.38,0.58,0.56
450000,100,0.44399999999999995,0.52,0.46,0.36,0.5,0.38
500000,100,0.43200000000000005,0.54,0.34,0.42,0.4,0.46
400000,100,0.376,0.44,0.34,0.3,0.34,0.46
300000,200,0.476,0.44,0.58,0.38,0.36,0.62
450000,200,0.45999999999999996,0.48,0.36,0.46,0.48,0.52
350000,200,0.45999999999999996,0.4,0.54,0.5,0.42,0.44
400000,200,0.44800000000000006,0.56,0.36,0.42,0.4,0.5
500000,200,0.42000000000000004,0.46,0.36,0.5,0.28,0.5
