step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
400000,0,0.35600000000000004,0.5,0.54,0.14,0.14,0.46
300000,0,0.328,0.38,0.28,0.2,0.14,0.64
350000,0,0.336,0.66,0.26,0.12,0.14,0.5
450000,20,0.5279999999999999,0.7,0.74,0.24,0.24,0.72
500000,0,0.312,0.3,0.04,0.24,0.36,0.62
400000,20,0.524,0.72,0.8,0.3,0.16,0.64
400000,10,0.4680000000000001,0.68,0.66,0.26,0.1,0.64
350000,10,0.4680000000000001,0.64,0.78,0.14,0.12,0.66
300000,10,0.44000000000000006,0.62,0.48,0.26,0.16,0.68
500000,10,0.476,0.58,0.68,0.18,0.16,0.78
450000,10,0.512,0.82,0.78,0.18,0.2,0.58
350000,20,0.48,0.78,0.72,0.18,0.1,0.62
500000,20,0.54,0.74,0.74,0.28,0.28,0.66
300000,20,0.516,0.76,0.78,0.24,0.22,0.58
450000,50,0.556,0.84,0.8,0.44,0.28,0.42
400000,50,0.5,0.82,0.7,0.24,0.22,0.52
350000,50,0.524,0.8,0.74,0.3,0.18,0.6
500000,100,0.52,0.72,0.56,0.36,0.32,0.64
450000,100,0.492,0.78,0.72,0.26,0.18,0.52
500000,50,0.536,0.68,0.8,0.34,0.22,0.64
300000,50,0.532,0.76,0.8,0.32,0.1,0.68
300000,100,0.492,0.74,0.74,0.28,0.26,0.44
400000,100,0.504,0.74,0.74,0.38,0.18,0.48
350000,100,0.40800000000000003,0.62,0.58,0.28,0.12,0.44
350000,200,0.46799999999999997,0.7,0.56,0.3,0.2,0.58
400000,200,0.40800000000000003,0.7,0.56,0.32,0.1,0.36
450000,200,0.43999999999999995,0.72,0.6,0.26,0.2,0.42
300000,200,0.492,0.76,0.66,0.34,0.18,0.52
500000,200,0.496,0.56,0.56,0.36,0.34,0.66
