step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
10000,0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0,0.0,0.0,0.0,0.0,0.0,0.0
15000,0,0.0,0.0,0.0,0.0,0.0,0.0
50000,0,0.0,0.0,0.0,0.0,0.0,0.0
30000,20,0.512,0.2,0.68,0.72,0.0,0.96
30000,0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0,0.0,0.0,0.0,0.0,0.0,0.0
45000,0,0.0,0.0,0.0,0.0,0.0,0.0
35000,0,0.0,0.0,0.0,0.0,0.0,0.0
40000,0,0.0,0.0,0.0,0.0,0.0,0.0
25000,0,0.0,0.0,0.0,0.0,0.0,0.0
35000,20,0.54,0.04,0.94,0.68,0.1,0.94
40000,20,0.45600000000000007,0.0,0.9,0.42,0.0,0.96
50000,20,0.48,0.06,0.58,0.48,0.3,0.98
45000,20,0.404,0.08,0.78,0.18,0.0,0.98
15000,20,0.46399999999999997,0.1,0.8,0.48,0.0,0.94
35000,10,0.252,0.0,0.0,0.3,0.0,0.96
30000,10,0.304,0.0,0.56,0.16,0.0,0.8
10000,10,0.132,0.0,0.0,0.02,0.0,0.64
10000,20,0.328,0.14,0.34,0.32,0.0,0.84
15000,10,0.1,0.0,0.02,0.06,0.0,0.42
5000,10,0.068,0.0,0.0,0.06,0.0,0.28
20000,20,0.22000000000000003,0.0,0.1,0.16,0.0,0.84
20000,10,0.016,0.0,0.0,0.0,0.0,0.08
25000,10,0.028000000000000004,0.0,0.0,0.0,0.0,0.14
5000,20,0.376,0.1,0.4,0.48,0.0,0.9
40000,10,0.08399999999999999,0.0,0.0,0.0,0.0,0.42
45000,10,0.092,0.0,0.0,0.0,0.0,0.46
25000,20,0.36,0.0,0.5,0.38,0.0,0.92
50000,10,0.16399999999999998,0.0,0.0,0.08,0.0,0.74
15000,50,0.612,0.96,0.68,0.38,0.06,0.98
10000,50,0.588,0.66,0.8,0.5,0.0,0.98
30000,50,0.6519999999999999,0.84,0.72,0.7,0.0,1.0
5000,50,0.6,0.76,0.76,0.5,0.02,0.96
35000,50,0.648,0.88,0.74,0.6,0.06,0.96
45000,50,0.66,0.82,0.64,0.78,0.06,1.0
40000,50,0.596,0.64,0.72,0.66,0.06,0.9
20000,50,0.5359999999999999,0.7,0.68,0.42,0.0,0.88
25000,50,0.5479999999999999,0.74,0.68,0.38,0.0,0.94
50000,50,0.652,0.92,0.68,0.68,0.04,0.94
15000,100,0.696,0.98,0.8,0.72,0.0,0.98
5000,100,0.652,0.86,0.74,0.72,0.0,0.94
35000,100,0.6519999999999999,0.96,0.78,0.58,0.02,0.92
20000,100,0.612,0.86,0.74,0.52,0.0,0.94
25000,100,0.636,0.9,0.68,0.6,0.0,1.0
10000,100,0.6319999999999999,0.88,0.82,0.52,0.0,0.94
50000,100,0.656,0.76,0.76,0.76,0.0,1.0
30000,100,0.716,0.94,0.86,0.78,0.04,0.96
45000,100,0.6719999999999999,0.84,0.82,0.72,0.02,0.96
40000,100,0.636,0.8,0.78,0.74,0.0,0.86
30000,200,0.728,0.94,0.86,0.76,0.08,1.0
50000,200,0.6639999999999999,0.88,0.96,0.52,0.0,0.96
10000,200,0.6719999999999999,0.82,0.84,0.72,0.02,0.96
45000,200,0.616,0.86,0.7,0.56,0.02,0.94
5000,200,0.6639999999999999,0.84,0.88,0.64,0.02,0.94
15000,200,0.656,0.84,0.78,0.7,0.04,0.92
40000,200,0.6759999999999999,0.9,0.84,0.7,0.0,0.94
20000,200,0.64,0.82,0.78,0.62,0.04,0.94
25000,200,0.6839999999999999,0.92,0.9,0.64,0.02,0.94
35000,200,0.632,0.92,0.72,0.56,0.02,0.94
