step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
15000,0,0.376,0.92,0.02,0.0,0.0,0.94
5000,0,0.272,0.8,0.48,0.02,0.0,0.06
20000,0,0.492,0.8,0.76,0.02,0.0,0.88
10000,0,0.4600000000000001,0.9,0.8,0.22,0.0,0.38
30000,0,0.36,0.46,0.76,0.02,0.0,0.56
25000,0,0.332,0.46,0.38,0.0,0.02,0.8
50000,0,0.328,0.16,0.9,0.0,0.0,0.58
45000,0,0.26,0.0,0.46,0.02,0.0,0.82
35000,0,0.236,0.0,0.7,0.04,0.0,0.44
40000,0,0.20800000000000002,0.04,0.12,0.06,0.0,0.82
10000,10,0.516,0.86,0.74,0.2,0.0,0.78
15000,10,0.38,0.62,0.4,0.02,0.0,0.86
30000,10,0.45199999999999996,0.48,0.84,0.06,0.0,0.88
20000,10,0.472,0.76,0.68,0.0,0.02,0.9
50000,10,0.41200000000000003,0.28,0.7,0.16,0.0,0.92
35000,10,0.376,0.32,0.58,0.1,0.0,0.88
5000,10,0.292,0.78,0.52,0.02,0.0,0.14
25000,10,0.40800000000000003,0.58,0.48,0.02,0.08,0.88
45000,10,0.41600000000000004,0.22,0.8,0.1,0.0,0.96
40000,10,0.344,0.24,0.44,0.08,0.0,0.96
25000,20,0.524,0.72,0.68,0.08,0.18,0.96
40000,20,0.44800000000000006,0.38,0.66,0.28,0.0,0.92
10000,20,0.5359999999999999,0.8,0.7,0.18,0.04,0.96
20000,20,0.508,0.7,0.66,0.14,0.06,0.98
30000,20,0.45200000000000007,0.38,0.86,0.06,0.04,0.92
15000,20,0.5,0.82,0.7,0.08,0.0,0.9
35000,20,0.52,0.8,0.64,0.12,0.1,0.94
45000,20,0.45600000000000007,0.24,0.7,0.34,0.0,1.0
50000,20,0.44399999999999995,0.3,0.64,0.3,0.0,0.98
5000,20,0.38,0.72,0.7,0.16,0.0,0.32
10000,50,0.62,0.7,0.78,0.5,0.18,0.94
5000,50,0.492,0.48,0.7,0.38,0.0,0.9
20000,50,0.648,0.84,0.76,0.42,0.26,0.96
15000,50,0.536,0.9,0.62,0.24,0.0,0.92
40000,50,0.532,0.48,0.78,0.38,0.06,0.96
35000,50,0.5880000000000001,0.88,0.74,0.26,0.06,1.0
25000,50,0.6479999999999999,0.82,0.66,0.5,0.28,0.98
30000,50,0.5519999999999999,0.34,0.9,0.46,0.08,0.98
45000,50,0.592,0.6,0.74,0.6,0.02,1.0
50000,50,0.524,0.42,0.74,0.48,0.02,0.96
10000,100,0.632,0.72,0.74,0.56,0.22,0.92
30000,100,0.656,0.58,0.94,0.58,0.2,0.98
20000,100,0.624,0.82,0.78,0.44,0.12,0.96
5000,100,0.58,0.5,0.78,0.62,0.08,0.92
40000,100,0.584,0.64,0.76,0.58,0.0,0.94
25000,100,0.66,0.92,0.66,0.58,0.16,0.98
50000,100,0.5720000000000001,0.6,0.66,0.56,0.08,0.96
15000,100,0.572,0.82,0.68,0.36,0.06,0.94
35000,100,0.612,0.88,0.7,0.42,0.1,0.96
45000,100,0.624,0.66,0.78,0.62,0.16,0.9
40000,200,0.728,0.9,0.84,0.86,0.04,1.0
35000,200,0.688,0.96,0.88,0.54,0.14,0.92
20000,200,0.6759999999999999,0.84,0.72,0.74,0.12,0.96
10000,200,0.68,0.78,0.8,0.64,0.22,0.96
25000,200,0.664,0.86,0.78,0.66,0.1,0.92
45000,200,0.676,0.78,0.84,0.7,0.1,0.96
30000,200,0.636,0.8,0.7,0.64,0.04,1.0
50000,200,0.652,0.82,0.76,0.64,0.08,0.96
5000,200,0.616,0.62,0.86,0.5,0.1,1.0
15000,200,0.6,0.82,0.66,0.52,0.06,0.94
