step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
20000,0,0.492,0.8,0.76,0.02,0.0,0.88
10000,0,0.4600000000000001,0.9,0.8,0.22,0.0,0.38
30000,0,0.36,0.46,0.76,0.02,0.0,0.56
15000,0,0.376,0.92,0.02,0.0,0.0,0.94
5000,0,0.272,0.8,0.48,0.02,0.0,0.06
25000,0,0.332,0.46,0.38,0.0,0.02,0.8
35000,0,0.236,0.0,0.7,0.04,0.0,0.44
50000,0,0.328,0.16,0.9,0.0,0.0,0.58
15000,10,0.64,0.86,0.62,0.66,0.06,1.0
25000,10,0.704,0.9,0.8,0.8,0.02,1.0
35000,10,0.6839999999999999,0.84,0.7,0.88,0.04,0.96
10000,10,0.676,0.8,0.72,0.76,0.16,0.94
40000,10,0.72,0.82,0.9,0.78,0.22,0.88
5000,10,0.6439999999999999,0.68,0.78,0.76,0.06,0.94
45000,0,0.26,0.0,0.46,0.02,0.0,0.82
20000,10,0.6359999999999999,0.72,0.6,0.78,0.14,0.94
40000,0,0.20800000000000002,0.04,0.12,0.06,0.0,0.82
30000,10,0.696,0.8,0.68,0.9,0.24,0.86
45000,10,0.6679999999999999,0.88,0.66,0.84,0.04,0.92
50000,10,0.7,0.8,0.8,0.72,0.26,0.92
25000,20,0.6839999999999999,0.88,0.86,0.78,0.0,0.9
10000,20,0.744,0.88,0.82,0.86,0.26,0.9
20000,20,0.712,0.84,0.9,0.78,0.06,0.98
5000,20,0.692,0.88,0.82,0.78,0.04,0.94
40000,20,0.708,0.9,0.76,0.84,0.08,0.96
50000,20,0.724,0.86,0.82,0.84,0.12,0.98
30000,20,0.6679999999999999,0.8,0.64,0.84,0.08,0.98
15000,20,0.6839999999999999,0.88,0.84,0.74,0.02,0.94
45000,20,0.66,0.74,0.8,0.74,0.08,0.94
