step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
35000,0,0.5559999999999999,0.72,0.68,0.18,0.38,0.82
15000,0,0.44000000000000006,0.56,0.28,0.18,0.44,0.74
5000,0,0.40800000000000003,0.38,0.54,0.12,0.42,0.58
10000,0,0.284,0.3,0.86,0.0,0.02,0.24
20000,0,0.34,0.2,0.28,0.06,0.36,0.8
45000,0,0.42000000000000004,0.44,0.76,0.08,0.04,0.78
25000,0,0.376,0.54,0.5,0.16,0.0,0.68
40000,0,0.348,0.6,0.1,0.1,0.14,0.8
30000,0,0.372,0.34,0.68,0.02,0.02,0.8
50000,0,0.39199999999999996,0.42,0.48,0.22,0.14,0.7
35000,10,0.64,0.7,0.76,0.74,0.12,0.88
50000,10,0.6479999999999999,0.68,0.78,0.72,0.14,0.92
5000,10,0.524,0.54,0.62,0.5,0.16,0.8
10000,10,0.608,0.64,0.62,0.74,0.16,0.88
25000,10,0.636,0.68,0.76,0.66,0.22,0.86
30000,10,0.576,0.54,0.74,0.62,0.14,0.84
20000,10,0.624,0.7,0.72,0.62,0.14,0.94
15000,10,0.6359999999999999,0.64,0.76,0.7,0.16,0.92
40000,10,0.648,0.8,0.68,0.58,0.26,0.92
45000,10,0.648,0.68,0.76,0.72,0.16,0.92
15000,20,0.6759999999999999,0.7,0.76,0.82,0.16,0.94
10000,20,0.6920000000000001,0.8,0.78,0.7,0.22,0.96
5000,20,0.58,0.58,0.72,0.6,0.08,0.92
25000,20,0.6759999999999999,0.68,0.76,0.78,0.2,0.96
20000,20,0.656,0.7,0.76,0.66,0.22,0.94
30000,20,0.6719999999999999,0.68,0.74,0.76,0.26,0.92
45000,20,0.716,0.82,0.84,0.82,0.22,0.88
35000,20,0.6799999999999999,0.72,0.88,0.74,0.14,0.92
50000,20,0.724,0.78,0.78,0.78,0.34,0.94
40000,20,0.6119999999999999,0.6,0.72,0.7,0.16,0.88
10000,50,0.652,0.8,0.8,0.62,0.16,0.88
20000,50,0.732,0.84,0.78,0.8,0.3,0.94
35000,50,0.704,0.82,0.82,0.76,0.2,0.92
15000,50,0.668,0.76,0.84,0.68,0.14,0.92
30000,50,0.6839999999999999,0.72,0.84,0.74,0.2,0.92
5000,50,0.6479999999999999,0.66,0.8,0.7,0.26,0.82
40000,50,0.696,0.84,0.8,0.7,0.22,0.92
50000,50,0.704,0.7,0.82,0.66,0.36,0.98
45000,50,0.704,0.7,0.8,0.8,0.26,0.96
25000,50,0.6799999999999999,0.72,0.86,0.82,0.1,0.9
5000,100,0.632,0.76,0.82,0.56,0.1,0.92
10000,100,0.7040000000000001,0.78,0.9,0.76,0.16,0.92
20000,100,0.6799999999999999,0.78,0.82,0.7,0.24,0.86
45000,100,0.692,0.72,0.74,0.78,0.26,0.96
15000,100,0.6479999999999999,0.72,0.62,0.76,0.22,0.92
35000,100,0.6880000000000001,0.82,0.78,0.76,0.2,0.88
50000,100,0.684,0.8,0.82,0.66,0.2,0.94
40000,100,0.684,0.82,0.74,0.76,0.18,0.92
25000,100,0.636,0.76,0.76,0.64,0.12,0.9
30000,100,0.6359999999999999,0.7,0.74,0.7,0.18,0.86
50000,200,0.748,0.84,0.84,0.8,0.3,0.96
25000,200,0.716,0.8,0.84,0.82,0.24,0.88
15000,200,0.6880000000000001,0.8,0.8,0.76,0.14,0.94
30000,200,0.672,0.74,0.78,0.8,0.18,0.86
45000,200,0.672,0.84,0.72,0.68,0.14,0.98
35000,200,0.724,0.84,0.78,0.84,0.26,0.9
5000,200,0.6479999999999999,0.74,0.74,0.74,0.12,0.9
40000,200,0.652,0.8,0.7,0.66,0.22,0.88
20000,200,0.692,0.82,0.82,0.74,0.2,0.88
10000,200,0.636,0.72,0.72,0.66,0.2,0.88
100000,0,0.28,0.3,0.26,0.06,0.06,0.72
100000,10,0.6839999999999999,0.62,0.74,0.82,0.24,1.0
100000,20,0.672,0.76,0.76,0.72,0.16,0.96
100000,50,0.6759999999999999,0.8,0.74,0.62,0.3,0.92
100000,100,0.704,0.82,0.88,0.74,0.18,0.9
100000,200,0.74,0.84,0.84,0.74,0.32,0.96
