step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
25000,0,0.32799999999999996,0.18,0.32,0.42,0.0,0.72
20000,0,0.32799999999999996,0.1,0.58,0.26,0.0,0.7
50000,0,0.556,0.8,0.52,0.7,0.1,0.66
35000,0,0.45999999999999996,0.46,0.86,0.62,0.02,0.34
45000,0,0.532,0.14,0.66,0.82,0.28,0.76
5000,0,0.324,0.12,0.3,0.42,0.02,0.76
30000,0,0.16,0.02,0.0,0.3,0.0,0.48
15000,0,0.328,0.1,0.58,0.3,0.0,0.66
15000,10,0.648,0.56,0.9,0.6,0.22,0.96
10000,0,0.22400000000000003,0.02,0.76,0.0,0.0,0.34
40000,0,0.336,0.0,0.64,0.12,0.0,0.92
25000,10,0.628,0.7,0.82,0.44,0.18,1.0
30000,10,0.6319999999999999,0.78,0.72,0.4,0.3,0.96
45000,10,0.532,0.44,0.84,0.22,0.22,0.94
5000,10,0.648,0.78,0.74,0.5,0.26,0.96
20000,10,0.624,0.56,0.76,0.4,0.42,0.98
10000,10,0.52,0.34,0.72,0.46,0.12,0.96
50000,10,0.6439999999999999,0.7,0.74,0.46,0.34,0.98
15000,20,0.596,0.46,0.9,0.54,0.1,0.98
40000,10,0.6839999999999999,0.88,0.78,0.46,0.32,0.98
20000,20,0.628,0.66,0.84,0.46,0.24,0.94
5000,20,0.72,0.88,0.62,0.68,0.42,1.0
35000,10,0.576,0.48,0.7,0.32,0.42,0.96
35000,20,0.696,0.78,0.86,0.52,0.38,0.94
10000,20,0.5640000000000001,0.56,0.78,0.4,0.1,0.98
25000,20,0.624,0.76,0.78,0.46,0.2,0.92
30000,20,0.6679999999999999,0.88,0.78,0.44,0.28,0.96
50000,20,0.728,0.9,0.94,0.56,0.24,1.0
45000,20,0.62,0.6,0.88,0.4,0.28,0.94
40000,20,0.712,0.82,0.94,0.72,0.14,0.94
5000,50,0.736,0.96,0.82,0.68,0.3,0.92
35000,50,0.748,0.94,0.84,0.6,0.36,1.0
15000,50,0.656,0.8,0.86,0.52,0.14,0.96
40000,50,0.7,0.94,0.88,0.5,0.22,0.96
25000,50,0.7,0.8,0.86,0.54,0.3,1.0
45000,50,0.6719999999999999,0.84,0.82,0.52,0.24,0.94
20000,50,0.656,0.84,0.76,0.5,0.26,0.92
50000,50,0.6559999999999999,0.76,0.8,0.52,0.26,0.94
10000,50,0.616,0.8,0.74,0.52,0.08,0.94
30000,50,0.732,0.88,0.86,0.62,0.38,0.92
5000,100,0.756,0.94,0.86,0.7,0.3,0.98
35000,100,0.7160000000000001,0.86,0.9,0.56,0.28,0.98
50000,100,0.764,0.94,0.8,0.62,0.48,0.98
15000,100,0.6399999999999999,0.84,0.86,0.52,0.1,0.88
40000,100,0.748,0.92,0.82,0.72,0.28,1.0
45000,100,0.6719999999999999,0.88,0.82,0.58,0.16,0.92
25000,100,0.6839999999999999,0.86,0.82,0.54,0.24,0.96
10000,100,0.62,0.86,0.7,0.52,0.08,0.94
20000,100,0.672,0.86,0.86,0.52,0.16,0.96
30000,100,0.6920000000000001,0.9,0.8,0.6,0.22,0.94
25000,200,0.7,0.88,0.92,0.58,0.18,0.94
50000,200,0.736,0.9,0.8,0.64,0.34,1.0
5000,200,0.72,0.82,0.76,0.78,0.26,0.98
40000,200,0.74,0.94,0.88,0.68,0.3,0.9
15000,200,0.6799999999999999,0.78,0.86,0.7,0.1,0.96
35000,200,0.676,0.8,0.88,0.56,0.22,0.92
45000,200,0.676,0.78,0.94,0.56,0.14,0.96
30000,200,0.712,0.88,0.9,0.48,0.32,0.98
20000,200,0.648,0.7,0.92,0.56,0.16,0.9
10000,200,0.64,0.82,0.74,0.64,0.12,0.88
