step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
50000,0,0.548,0.46,0.82,0.64,0.06,0.76
15000,0,0.348,0.58,0.06,0.6,0.0,0.5
5000,0,0.304,0.42,0.32,0.04,0.0,0.74
45000,0,0.34400000000000003,0.84,0.76,0.0,0.0,0.12
10000,0,0.10800000000000001,0.06,0.32,0.08,0.0,0.08
25000,0,0.2,0.58,0.16,0.14,0.0,0.12
40000,0,0.296,0.3,0.56,0.08,0.0,0.54
20000,10,0.516,0.62,0.94,0.16,0.04,0.82
10000,10,0.4880000000000001,0.5,0.78,0.36,0.0,0.8
25000,10,0.484,0.62,0.78,0.16,0.02,0.84
20000,0,0.188,0.34,0.46,0.12,0.0,0.02
40000,10,0.516,0.64,0.74,0.28,0.0,0.92
15000,10,0.348,0.36,0.38,0.18,0.02,0.8
5000,20,0.576,0.8,0.64,0.44,0.0,1.0
45000,10,0.492,0.78,0.5,0.26,0.0,0.92
10000,20,0.4880000000000001,0.52,0.8,0.34,0.0,0.78
30000,10,0.5,0.66,0.72,0.24,0.04,0.84
25000,20,0.592,0.7,0.88,0.38,0.08,0.92
50000,20,0.596,0.62,0.9,0.42,0.1,0.94
35000,20,0.5439999999999999,0.46,0.84,0.46,0.02,0.94
40000,20,0.488,0.58,0.7,0.26,0.0,0.9
45000,20,0.544,0.66,0.8,0.32,0.04,0.9
30000,20,0.5640000000000001,0.8,0.82,0.24,0.06,0.9
20000,20,0.516,0.7,0.82,0.3,0.04,0.72
15000,20,0.45200000000000007,0.52,0.48,0.32,0.06,0.88
20000,50,0.584,0.72,0.92,0.42,0.0,0.86
25000,50,0.62,0.78,0.92,0.46,0.04,0.9
45000,50,0.532,0.6,0.8,0.24,0.06,0.96
30000,50,0.6,0.86,0.82,0.4,0.02,0.9
5000,50,0.612,0.86,0.76,0.48,0.0,0.96
15000,50,0.5720000000000001,0.54,0.68,0.68,0.08,0.88
35000,50,0.612,0.6,0.88,0.44,0.18,0.96
50000,50,0.592,0.82,0.82,0.38,0.02,0.92
10000,100,0.592,0.8,0.82,0.48,0.0,0.86
35000,100,0.628,0.74,0.88,0.54,0.0,0.98
50000,100,0.632,0.82,0.76,0.56,0.06,0.96
30000,100,0.6719999999999999,0.86,0.96,0.56,0.02,0.96
15000,100,0.576,0.72,0.62,0.64,0.02,0.88
5000,100,0.632,0.88,0.72,0.62,0.0,0.94
45000,100,0.624,0.86,0.84,0.3,0.12,1.0
30000,200,0.6759999999999999,0.88,0.94,0.58,0.02,0.96
25000,200,0.66,0.78,0.9,0.56,0.1,0.96
50000,200,0.672,0.88,0.9,0.54,0.06,0.98
40000,200,0.6639999999999999,0.8,0.82,0.72,0.02,0.96
20000,200,0.6,0.88,0.8,0.48,0.0,0.84
15000,200,0.596,0.78,0.72,0.58,0.02,0.88
35000,200,0.62,0.72,0.92,0.5,0.0,0.96
30000,0,0.476,0.66,0.62,0.3,0.0,0.8
35000,0,0.256,0.0,0.48,0.38,0.0,0.42
50000,10,0.556,0.56,0.8,0.32,0.2,0.9
5000,10,0.572,0.64,0.82,0.42,0.0,0.98
35000,10,0.488,0.62,0.74,0.22,0.0,0.86
10000,50,0.608,0.74,0.84,0.52,0.0,0.94
40000,50,0.568,0.68,0.76,0.48,0.02,0.9
25000,100,0.6399999999999999,0.7,0.94,0.54,0.12,0.9
20000,100,0.6399999999999999,0.74,0.94,0.58,0.02,0.92
40000,100,0.576,0.7,0.74,0.52,0.0,0.92
5000,200,0.6639999999999999,0.88,0.86,0.62,0.04,0.92
10000,200,0.6439999999999999,0.84,0.84,0.66,0.0,0.88
45000,200,0.608,0.8,0.88,0.44,0.02,0.9
