step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
30000,0,0.476,0.66,0.62,0.3,0.0,0.8
45000,0,0.34400000000000003,0.84,0.76,0.0,0.0,0.12
5000,0,0.304,0.42,0.32,0.04,0.0,0.74
35000,0,0.256,0.0,0.48,0.38,0.0,0.42
25000,0,0.2,0.58,0.16,0.14,0.0,0.12
20000,0,0.188,0.34,0.46,0.12,0.0,0.02
50000,0,0.548,0.46,0.82,0.64,0.06,0.76
30000,10,0.616,0.9,0.72,0.46,0.08,0.92
25000,10,0.596,0.84,0.86,0.28,0.1,0.9
15000,0,0.348,0.58,0.06,0.6,0.0,0.5
5000,10,0.604,0.74,0.74,0.64,0.0,0.9
40000,0,0.296,0.3,0.56,0.08,0.0,0.54
10000,0,0.10800000000000001,0.06,0.32,0.08,0.0,0.08
20000,10,0.592,0.82,0.88,0.3,0.08,0.88
35000,10,0.576,0.7,0.8,0.48,0.04,0.86
50000,10,0.636,0.9,0.84,0.34,0.14,0.96
40000,10,0.5479999999999999,0.68,0.72,0.46,0.02,0.86
45000,10,0.592,0.88,0.82,0.3,0.06,0.9
10000,10,0.612,0.7,0.82,0.56,0.0,0.98
15000,10,0.42000000000000004,0.68,0.38,0.22,0.06,0.76
20000,20,0.568,0.68,0.94,0.4,0.08,0.74
5000,20,0.644,0.84,0.7,0.7,0.02,0.96
30000,20,0.648,0.94,0.76,0.42,0.18,0.94
15000,20,0.552,0.78,0.5,0.5,0.1,0.88
25000,20,0.6399999999999999,0.8,0.82,0.46,0.26,0.86
10000,20,0.616,0.8,0.72,0.68,0.0,0.88
50000,20,0.66,0.86,0.9,0.42,0.18,0.94
45000,20,0.612,0.8,0.72,0.44,0.2,0.9
40000,20,0.584,0.72,0.74,0.54,0.02,0.9
35000,20,0.628,0.76,0.88,0.5,0.08,0.92
20000,50,0.6719999999999999,0.9,0.88,0.62,0.04,0.92
10000,50,0.6639999999999999,0.82,0.86,0.78,0.02,0.84
5000,50,0.6839999999999999,0.9,0.64,0.84,0.1,0.94
15000,50,0.6319999999999999,0.9,0.52,0.72,0.08,0.94
25000,50,0.692,0.82,0.9,0.7,0.18,0.86
35000,50,0.7080000000000001,0.76,0.9,0.74,0.18,0.96
30000,50,0.6880000000000001,0.88,0.78,0.7,0.16,0.92
40000,50,0.6559999999999999,0.82,0.88,0.7,0.02,0.86
45000,50,0.684,0.92,0.76,0.56,0.22,0.96
30000,100,0.7,0.88,0.84,0.7,0.12,0.96
25000,100,0.716,0.9,0.9,0.68,0.16,0.94
15000,100,0.6519999999999999,0.86,0.64,0.82,0.12,0.82
50000,100,0.6719999999999999,0.82,0.92,0.6,0.1,0.92
5000,100,0.6599999999999999,0.9,0.68,0.72,0.04,0.96
45000,100,0.684,0.92,0.74,0.78,0.06,0.92
20000,100,0.648,0.82,0.8,0.74,0.02,0.86
10000,100,0.676,0.92,0.8,0.72,0.02,0.92
35000,100,0.688,0.9,0.86,0.68,0.04,0.96
40000,100,0.688,0.88,0.82,0.72,0.02,1.0
5000,200,0.732,0.94,0.86,0.82,0.06,0.98
25000,200,0.74,0.92,0.94,0.76,0.16,0.92
30000,200,0.712,0.9,0.86,0.76,0.06,0.98
50000,200,0.732,0.92,0.74,0.8,0.22,0.98
40000,200,0.7,0.9,0.88,0.76,0.04,0.92
20000,200,0.688,0.82,0.9,0.72,0.04,0.96
15000,200,0.6639999999999999,0.86,0.7,0.74,0.08,0.94
35000,200,0.716,0.88,0.88,0.76,0.14,0.92
45000,200,0.708,0.96,0.78,0.74,0.1,0.96
10000,200,0.6559999999999999,0.8,0.76,0.78,0.0,0.94
50000,50,0.684,0.92,0.76,0.56,0.22,0.96
