step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
10000,0,0.476,0.64,0.72,0.3,0.0,0.72
5000,0,0.18,0.2,0.6,0.08,0.0,0.02
25000,0,0.43200000000000005,0.82,0.42,0.56,0.0,0.36
20000,0,0.348,0.14,0.74,0.36,0.0,0.5
50000,0,0.36,0.12,0.7,0.18,0.0,0.8
40000,0,0.45600000000000007,0.32,0.68,0.62,0.08,0.58
30000,0,0.30000000000000004,0.14,0.44,0.62,0.0,0.3
15000,0,0.052000000000000005,0.14,0.0,0.1,0.0,0.02
35000,0,0.296,0.5,0.32,0.5,0.0,0.16
45000,0,0.336,0.62,0.26,0.2,0.0,0.6
10000,10,0.5640000000000001,0.74,0.74,0.44,0.12,0.78
25000,10,0.5599999999999999,0.88,0.6,0.5,0.0,0.82
40000,10,0.588,0.4,0.76,0.66,0.26,0.86
45000,10,0.496,0.54,0.72,0.32,0.0,0.9
5000,10,0.364,0.32,0.8,0.2,0.02,0.48
20000,10,0.5559999999999999,0.56,0.72,0.48,0.18,0.84
30000,10,0.43200000000000005,0.46,0.7,0.32,0.0,0.68
35000,10,0.41200000000000003,0.4,0.62,0.34,0.1,0.6
50000,10,0.42800000000000005,0.3,0.64,0.3,0.0,0.9
15000,10,0.196,0.26,0.12,0.32,0.02,0.26
20000,20,0.6319999999999999,0.82,0.7,0.44,0.26,0.94
10000,20,0.576,0.78,0.66,0.32,0.24,0.88
5000,20,0.488,0.58,0.72,0.24,0.04,0.86
25000,20,0.532,0.74,0.74,0.38,0.02,0.78
45000,20,0.5599999999999999,0.74,0.78,0.36,0.0,0.92
40000,20,0.64,0.72,0.88,0.52,0.24,0.84
15000,20,0.46799999999999997,0.42,0.6,0.38,0.14,0.8
30000,20,0.5359999999999999,0.64,0.74,0.4,0.1,0.8
50000,20,0.52,0.56,0.7,0.42,0.02,0.9
35000,20,0.45599999999999996,0.38,0.64,0.38,0.16,0.72
40000,50,0.6799999999999999,0.82,0.72,0.6,0.32,0.94
45000,50,0.62,0.84,0.82,0.42,0.04,0.98
30000,50,0.624,0.82,0.78,0.54,0.12,0.86
20000,50,0.688,0.94,0.68,0.52,0.36,0.94
5000,50,0.58,0.78,0.76,0.5,0.04,0.82
10000,50,0.6599999999999999,0.82,0.74,0.5,0.36,0.88
15000,50,0.572,0.78,0.58,0.3,0.3,0.9
25000,50,0.584,0.82,0.72,0.36,0.1,0.92
50000,50,0.536,0.64,0.66,0.4,0.12,0.86
35000,50,0.4880000000000001,0.58,0.5,0.5,0.14,0.72
10000,100,0.692,0.86,0.8,0.46,0.36,0.98
20000,100,0.6599999999999999,0.86,0.68,0.52,0.28,0.96
40000,100,0.6960000000000001,0.86,0.76,0.64,0.26,0.96
30000,100,0.636,0.86,0.72,0.58,0.08,0.94
15000,100,0.6599999999999999,0.8,0.76,0.48,0.4,0.86
45000,100,0.6639999999999999,0.94,0.82,0.52,0.08,0.96
25000,100,0.584,0.92,0.62,0.4,0.06,0.92
50000,100,0.536,0.76,0.48,0.48,0.1,0.86
5000,100,0.576,0.74,0.72,0.42,0.12,0.88
35000,100,0.62,0.82,0.76,0.46,0.14,0.92
20000,200,0.7120000000000001,0.88,0.8,0.66,0.26,0.96
15000,200,0.6839999999999999,0.84,0.86,0.5,0.26,0.96
40000,200,0.692,0.96,0.8,0.66,0.12,0.92
10000,200,0.7000000000000001,0.9,0.76,0.68,0.2,0.96
25000,200,0.608,0.84,0.7,0.38,0.22,0.9
30000,200,0.6719999999999999,0.82,0.84,0.52,0.2,0.98
5000,200,0.624,0.9,0.72,0.54,0.08,0.88
35000,200,0.616,0.9,0.64,0.48,0.12,0.94
45000,200,0.6519999999999999,0.96,0.74,0.62,0.1,0.84
50000,200,0.636,0.86,0.76,0.52,0.08,0.96
