step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
45000,0,0.3,0.18,0.3,0.52,0.12,0.38
50000,10,0.6759999999999999,0.78,0.74,0.66,0.36,0.84
50000,0,0.29600000000000004,0.36,0.28,0.42,0.1,0.32
35000,10,0.632,0.6,0.8,0.6,0.38,0.78
25000,0,0.352,0.38,0.44,0.54,0.14,0.26
30000,0,0.29200000000000004,0.28,0.4,0.52,0.02,0.24
5000,10,0.6679999999999999,0.68,0.76,0.72,0.42,0.76
35000,0,0.332,0.22,0.26,0.68,0.12,0.38
10000,10,0.696,0.78,0.72,0.62,0.4,0.96
5000,0,0.38,0.34,0.44,0.52,0.3,0.3
40000,0,0.28800000000000003,0.16,0.32,0.56,0.08,0.32
5000,20,0.748,0.82,0.78,0.76,0.44,0.94
15000,10,0.6679999999999999,0.78,0.86,0.64,0.26,0.8
40000,10,0.6679999999999999,0.74,0.82,0.66,0.28,0.84
15000,0,0.308,0.32,0.28,0.5,0.08,0.36
20000,0,0.24800000000000005,0.16,0.24,0.42,0.16,0.26
45000,10,0.6759999999999999,0.76,0.74,0.72,0.28,0.88
20000,10,0.624,0.66,0.82,0.6,0.26,0.78
10000,0,0.296,0.22,0.24,0.5,0.16,0.36
25000,10,0.6359999999999999,0.68,0.72,0.54,0.36,0.88
30000,10,0.648,0.68,0.78,0.68,0.22,0.88
10000,20,0.7,0.86,0.9,0.64,0.24,0.86
20000,20,0.688,0.8,0.76,0.7,0.28,0.9
15000,20,0.708,0.78,0.86,0.78,0.28,0.84
40000,20,0.7,0.8,0.8,0.62,0.36,0.92
45000,20,0.712,0.86,0.92,0.62,0.22,0.94
50000,20,0.7,0.78,0.8,0.8,0.3,0.82
35000,20,0.78,0.88,0.84,0.84,0.42,0.92
25000,20,0.7,0.78,0.82,0.7,0.36,0.84
30000,20,0.6839999999999999,0.76,0.8,0.66,0.36,0.84
35000,50,0.732,0.8,0.84,0.72,0.38,0.92
30000,50,0.728,0.82,0.82,0.76,0.32,0.92
15000,50,0.736,0.8,0.86,0.72,0.36,0.94
45000,50,0.708,0.86,0.82,0.68,0.34,0.84
25000,50,0.72,0.74,0.86,0.68,0.4,0.92
20000,50,0.7,0.78,0.86,0.74,0.26,0.86
50000,50,0.764,0.94,0.82,0.74,0.34,0.98
5000,50,0.716,0.92,0.84,0.72,0.32,0.78
40000,50,0.72,0.82,0.7,0.7,0.48,0.9
10000,50,0.728,0.84,0.78,0.82,0.24,0.96
10000,100,0.72,0.86,0.78,0.76,0.34,0.86
25000,100,0.744,0.94,0.84,0.72,0.3,0.92
30000,100,0.7359999999999999,0.92,0.94,0.74,0.26,0.82
35000,100,0.732,0.86,0.82,0.78,0.26,0.94
5000,100,0.728,0.84,0.76,0.66,0.5,0.88
20000,100,0.74,0.9,0.88,0.66,0.34,0.92
15000,100,0.704,0.8,0.8,0.7,0.32,0.9
45000,100,0.688,0.82,0.72,0.62,0.3,0.98
50000,100,0.692,0.76,0.82,0.62,0.38,0.88
40000,100,0.716,0.9,0.8,0.72,0.26,0.9
15000,200,0.744,0.88,0.86,0.74,0.32,0.92
35000,200,0.748,0.92,0.94,0.72,0.26,0.9
25000,200,0.708,0.82,0.82,0.64,0.4,0.86
10000,200,0.768,0.98,0.9,0.74,0.3,0.92
45000,200,0.6799999999999999,0.74,0.8,0.68,0.32,0.86
40000,200,0.7040000000000001,0.86,0.86,0.76,0.26,0.78
5000,200,0.768,0.84,0.86,0.74,0.52,0.88
20000,200,0.756,0.86,0.8,0.76,0.4,0.96
30000,200,0.724,0.8,0.84,0.76,0.32,0.9
50000,200,0.732,0.9,0.86,0.72,0.3,0.88
