step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,0,0.45199999999999996,0.3,0.86,0.46,0.04,0.6
10000,0,0.388,0.04,0.82,0.32,0.0,0.76
30000,0,0.46799999999999997,0.24,0.72,0.5,0.0,0.88
20000,0,0.46799999999999997,0.26,0.8,0.48,0.0,0.8
25000,0,0.472,0.22,0.7,0.6,0.0,0.84
15000,0,0.44800000000000006,0.26,0.8,0.48,0.0,0.7
45000,0,0.43200000000000005,0.26,0.6,0.56,0.0,0.74
40000,0,0.42800000000000005,0.2,0.6,0.48,0.04,0.82
35000,0,0.368,0.02,0.44,0.72,0.0,0.66
50000,0,0.26,0.0,0.12,0.56,0.0,0.62
30000,10,0.58,0.5,0.72,0.64,0.06,0.98
20000,10,0.616,0.6,0.88,0.62,0.04,0.94
10000,10,0.568,0.42,0.86,0.54,0.08,0.94
50000,10,0.624,0.52,0.84,0.66,0.16,0.94
15000,10,0.592,0.64,0.76,0.58,0.02,0.96
35000,10,0.6,0.56,0.82,0.6,0.04,0.98
25000,10,0.572,0.42,0.94,0.46,0.08,0.96
40000,10,0.572,0.62,0.78,0.54,0.1,0.82
5000,10,0.532,0.46,0.72,0.52,0.08,0.88
45000,10,0.6519999999999999,0.52,0.86,0.7,0.3,0.88
5000,20,0.632,0.68,0.86,0.66,0.12,0.84
15000,20,0.604,0.66,0.86,0.58,0.02,0.9
35000,20,0.6759999999999999,0.64,0.88,0.74,0.12,1.0
20000,20,0.66,0.7,0.92,0.68,0.14,0.86
25000,20,0.644,0.66,0.84,0.66,0.08,0.98
10000,20,0.668,0.68,0.88,0.68,0.16,0.94
40000,20,0.656,0.68,0.86,0.74,0.12,0.88
30000,20,0.656,0.58,0.9,0.72,0.16,0.92
45000,20,0.6759999999999999,0.72,0.86,0.6,0.24,0.96
50000,20,0.652,0.7,0.84,0.64,0.12,0.96
30000,50,0.692,0.72,0.84,0.84,0.12,0.94
5000,50,0.66,0.62,0.86,0.72,0.12,0.98
10000,50,0.684,0.78,0.9,0.68,0.08,0.98
20000,50,0.672,0.8,0.86,0.7,0.1,0.9
25000,50,0.672,0.78,0.88,0.68,0.14,0.88
15000,50,0.7,0.76,0.96,0.74,0.12,0.92
45000,50,0.7,0.8,0.94,0.62,0.18,0.96
40000,50,0.712,0.82,0.9,0.7,0.2,0.94
35000,50,0.68,0.8,0.82,0.74,0.14,0.9
50000,50,0.712,0.78,0.9,0.7,0.22,0.96
5000,100,0.7280000000000001,0.66,0.94,0.8,0.28,0.96
15000,100,0.716,0.88,0.86,0.76,0.18,0.9
10000,100,0.716,0.78,0.9,0.74,0.22,0.94
45000,100,0.728,0.88,0.84,0.68,0.3,0.94
50000,100,0.712,0.88,0.88,0.68,0.16,0.96
30000,100,0.6759999999999999,0.84,0.82,0.7,0.16,0.86
35000,100,0.696,0.78,0.86,0.74,0.12,0.98
25000,100,0.704,0.86,0.84,0.78,0.14,0.9
40000,100,0.692,0.86,0.84,0.76,0.1,0.9
20000,100,0.72,0.9,0.92,0.72,0.1,0.96
10000,200,0.688,0.88,0.92,0.66,0.08,0.9
45000,200,0.708,0.8,0.98,0.7,0.2,0.86
25000,200,0.712,0.88,0.88,0.76,0.08,0.96
20000,200,0.676,0.78,0.82,0.72,0.1,0.96
5000,200,0.6920000000000002,0.76,0.92,0.76,0.24,0.78
40000,200,0.72,0.88,0.86,0.7,0.28,0.88
30000,200,0.696,0.9,0.86,0.72,0.14,0.86
35000,200,0.692,0.76,0.88,0.74,0.2,0.88
50000,200,0.672,0.76,0.86,0.64,0.18,0.92
15000,200,0.6719999999999999,0.86,0.86,0.62,0.1,0.92
