step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
25000,0,0.472,0.22,0.7,0.6,0.0,0.84
20000,0,0.46799999999999997,0.26,0.8,0.48,0.0,0.8
30000,0,0.46799999999999997,0.24,0.72,0.5,0.0,0.88
5000,0,0.45199999999999996,0.3,0.86,0.46,0.04,0.6
15000,10,0.6559999999999999,0.68,0.9,0.72,0.04,0.94
30000,10,0.6799999999999999,0.74,0.9,0.74,0.12,0.9
15000,0,0.44800000000000006,0.26,0.8,0.48,0.0,0.7
20000,10,0.688,0.7,0.94,0.76,0.1,0.94
40000,10,0.6479999999999999,0.66,0.76,0.8,0.06,0.96
10000,0,0.388,0.04,0.82,0.32,0.0,0.76
50000,10,0.684,0.66,0.86,0.8,0.1,1.0
35000,10,0.656,0.76,0.8,0.72,0.1,0.9
25000,10,0.66,0.76,0.86,0.7,0.04,0.94
45000,10,0.636,0.64,0.88,0.64,0.04,0.98
45000,0,0.43200000000000005,0.26,0.6,0.56,0.0,0.74
40000,0,0.42800000000000005,0.2,0.6,0.48,0.04,0.82
35000,0,0.368,0.02,0.44,0.72,0.0,0.66
50000,0,0.26,0.0,0.12,0.56,0.0,0.62
5000,10,0.6639999999999999,0.64,0.98,0.72,0.06,0.92
10000,10,0.6399999999999999,0.58,0.8,0.82,0.06,0.94
5000,20,0.696,0.78,0.88,0.72,0.14,0.96
20000,20,0.6719999999999999,0.8,0.94,0.56,0.1,0.96
30000,20,0.716,0.78,0.94,0.76,0.16,0.94
25000,20,0.636,0.62,0.8,0.74,0.1,0.92
15000,20,0.7000000000000001,0.76,0.9,0.78,0.1,0.96
45000,20,0.708,0.76,0.9,0.76,0.16,0.96
10000,20,0.632,0.64,0.9,0.66,0.12,0.84
35000,20,0.6719999999999999,0.7,0.84,0.76,0.14,0.92
40000,20,0.6880000000000001,0.78,0.78,0.76,0.14,0.98
50000,20,0.648,0.68,0.78,0.7,0.14,0.94
30000,50,0.7120000000000001,0.76,0.9,0.78,0.14,0.98
10000,50,0.716,0.84,0.94,0.74,0.08,0.98
15000,50,0.712,0.72,0.86,0.82,0.22,0.94
50000,50,0.7040000000000001,0.72,0.92,0.8,0.16,0.92
40000,50,0.684,0.8,0.84,0.68,0.1,1.0
45000,50,0.716,0.76,0.94,0.78,0.18,0.92
20000,50,0.6839999999999999,0.74,0.86,0.74,0.12,0.96
35000,50,0.6920000000000001,0.78,0.92,0.68,0.1,0.98
25000,50,0.708,0.88,0.82,0.78,0.12,0.94
5000,50,0.684,0.8,0.86,0.7,0.14,0.92
5000,100,0.692,0.78,0.74,0.84,0.18,0.92
30000,100,0.708,0.8,0.9,0.82,0.1,0.92
20000,100,0.656,0.78,0.82,0.66,0.14,0.88
10000,100,0.696,0.82,0.86,0.76,0.14,0.9
15000,100,0.6719999999999999,0.78,0.84,0.76,0.04,0.94
35000,100,0.688,0.84,0.88,0.68,0.1,0.94
25000,100,0.652,0.74,0.82,0.72,0.1,0.88
40000,100,0.712,0.86,0.88,0.8,0.1,0.92
45000,100,0.6839999999999999,0.86,0.82,0.7,0.14,0.9
50000,200,0.748,0.86,0.94,0.84,0.16,0.94
30000,200,0.708,0.84,0.88,0.74,0.16,0.92
10000,200,0.692,0.76,0.92,0.7,0.1,0.98
25000,200,0.708,0.74,0.9,0.84,0.1,0.96
45000,200,0.704,0.86,0.86,0.78,0.12,0.9
15000,200,0.6759999999999999,0.84,0.8,0.7,0.16,0.88
40000,200,0.668,0.76,0.86,0.64,0.14,0.94
35000,200,0.704,0.86,0.9,0.76,0.1,0.9
20000,200,0.6839999999999999,0.9,0.82,0.64,0.1,0.96
50000,100,0.704,0.82,0.88,0.78,0.16,0.88
5000,200,0.696,0.86,0.88,0.68,0.18,0.88
