step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
400000,0,0.2,0.12,0.06,0.26,0.32,0.24
300000,10,0.592,0.58,0.44,0.94,0.24,0.76
300000,0,0.184,0.06,0.08,0.1,0.28,0.4
500000,0,0.23600000000000004,0.1,0.0,0.34,0.36,0.38
350000,0,0.21600000000000003,0.34,0.12,0.12,0.3,0.2
450000,0,0.168,0.18,0.06,0.02,0.28,0.3
450000,10,0.6880000000000001,0.7,0.42,0.88,0.64,0.8
400000,10,0.564,0.6,0.42,0.82,0.48,0.5
350000,10,0.6039999999999999,0.52,0.44,0.8,0.5,0.76
500000,20,0.616,0.66,0.4,0.8,0.48,0.74
500000,10,0.5959999999999999,0.64,0.38,0.76,0.48,0.72
450000,20,0.64,0.74,0.52,0.78,0.46,0.7
400000,20,0.5719999999999998,0.58,0.36,0.84,0.34,0.74
300000,20,0.6519999999999999,0.62,0.54,0.86,0.34,0.9
350000,20,0.6439999999999999,0.7,0.5,0.82,0.48,0.72
300000,50,0.6639999999999999,0.7,0.68,0.82,0.26,0.86
500000,50,0.6439999999999999,0.7,0.52,0.8,0.42,0.78
350000,50,0.692,0.76,0.56,0.92,0.34,0.88
450000,50,0.712,0.94,0.54,0.8,0.44,0.84
400000,50,0.6679999999999999,0.74,0.6,0.9,0.4,0.7
500000,100,0.6599999999999999,0.78,0.54,0.9,0.3,0.78
400000,100,0.696,0.88,0.56,0.86,0.34,0.84
350000,100,0.6639999999999999,0.8,0.48,0.84,0.36,0.84
450000,100,0.6719999999999999,0.68,0.48,0.94,0.42,0.84
300000,100,0.6599999999999999,0.8,0.62,0.8,0.16,0.92
300000,200,0.6439999999999999,0.74,0.68,0.92,0.1,0.78
350000,200,0.6839999999999999,0.62,0.62,0.8,0.48,0.9
400000,200,0.708,0.8,0.7,0.9,0.4,0.74
450000,200,0.652,0.68,0.58,0.78,0.56,0.66
500000,200,0.624,0.72,0.46,0.84,0.38,0.72
