step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
500000,10,0.13599999999999998,0.16,0.18,0.22,0.0,0.12
450000,10,0.14,0.22,0.18,0.14,0.04,0.12
300000,20,0.132,0.16,0.22,0.18,0.02,0.08
350000,20,0.12000000000000002,0.22,0.18,0.14,0.02,0.04
450000,20,0.10400000000000001,0.22,0.12,0.08,0.02,0.08
400000,20,0.12,0.12,0.1,0.26,0.02,0.1
500000,20,0.07200000000000001,0.06,0.08,0.16,0.02,0.04
300000,0,0.08,0.02,0.06,0.14,0.0,0.18
400000,0,0.068,0.02,0.12,0.1,0.02,0.08
500000,50,0.16399999999999998,0.12,0.2,0.32,0.06,0.12
400000,50,0.12400000000000003,0.2,0.2,0.16,0.04,0.02
350000,50,0.148,0.18,0.28,0.16,0.02,0.1
450000,50,0.11200000000000002,0.16,0.22,0.08,0.02,0.08
350000,0,0.044,0.02,0.1,0.08,0.02,0.0
500000,0,0.044,0.04,0.02,0.14,0.0,0.02
400000,10,0.128,0.2,0.2,0.12,0.04,0.08
300000,50,0.12,0.08,0.22,0.2,0.02,0.08
450000,0,0.10800000000000001,0.02,0.06,0.24,0.04,0.18
300000,10,0.088,0.12,0.12,0.08,0.06,0.06
300000,100,0.11200000000000002,0.1,0.12,0.16,0.04,0.14
450000,100,0.12800000000000003,0.16,0.22,0.2,0.04,0.02
350000,100,0.132,0.18,0.24,0.12,0.0,0.12
500000,100,0.07200000000000001,0.06,0.16,0.06,0.02,0.06
350000,10,0.11600000000000002,0.16,0.22,0.14,0.02,0.04
400000,100,0.064,0.06,0.1,0.12,0.0,0.04
400000,200,0.088,0.1,0.14,0.08,0.06,0.06
300000,200,0.092,0.1,0.14,0.16,0.0,0.06
450000,200,0.11600000000000002,0.24,0.18,0.1,0.02,0.04
500000,200,0.136,0.22,0.2,0.14,0.04,0.08
350000,200,0.11600000000000002,0.2,0.18,0.14,0.02,0.04
