step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
450000,0,0.10400000000000001,0.0,0.14,0.18,0.02,0.18
300000,0,0.072,0.02,0.04,0.12,0.02,0.16
350000,0,0.055999999999999994,0.12,0.06,0.06,0.0,0.04
500000,0,0.088,0.02,0.06,0.1,0.06,0.2
400000,0,0.05600000000000001,0.06,0.02,0.08,0.0,0.12
300000,10,0.136,0.06,0.22,0.18,0.02,0.2
500000,10,0.11200000000000002,0.1,0.24,0.08,0.0,0.14
400000,10,0.10800000000000001,0.14,0.1,0.12,0.04,0.14
450000,10,0.12400000000000003,0.08,0.06,0.14,0.08,0.26
350000,10,0.096,0.06,0.06,0.12,0.04,0.2
400000,20,0.124,0.1,0.14,0.18,0.04,0.16
500000,20,0.168,0.1,0.18,0.24,0.14,0.18
450000,20,0.156,0.0,0.14,0.28,0.1,0.26
350000,20,0.148,0.14,0.16,0.16,0.08,0.2
300000,20,0.12400000000000003,0.08,0.2,0.12,0.02,0.2
350000,50,0.18,0.14,0.18,0.2,0.2,0.18
450000,50,0.144,0.14,0.22,0.18,0.08,0.1
400000,50,0.144,0.16,0.16,0.08,0.06,0.26
500000,50,0.13599999999999998,0.12,0.12,0.1,0.1,0.24
300000,50,0.13999999999999999,0.12,0.18,0.1,0.12,0.18
350000,100,0.164,0.1,0.26,0.18,0.06,0.22
450000,100,0.15599999999999997,0.12,0.22,0.12,0.08,0.24
500000,100,0.16,0.08,0.2,0.26,0.12,0.14
400000,100,0.148,0.2,0.16,0.12,0.08,0.18
300000,100,0.136,0.16,0.14,0.16,0.06,0.16
450000,200,0.21200000000000002,0.14,0.28,0.26,0.08,0.3
400000,200,0.248,0.2,0.26,0.28,0.14,0.36
350000,200,0.16,0.18,0.18,0.18,0.06,0.2
500000,200,0.168,0.1,0.18,0.22,0.06,0.28
300000,200,0.168,0.08,0.28,0.2,0.1,0.18
