step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,0,0.044,0.0,0.0,0.22,0.0,0.0
20000,0,0.004,0.0,0.02,0.0,0.0,0.0
30000,0,0.044,0.0,0.04,0.12,0.0,0.06
15000,0,0.072,0.1,0.1,0.12,0.0,0.04
10000,0,0.064,0.14,0.06,0.06,0.0,0.06
25000,0,0.032,0.0,0.02,0.04,0.0,0.1
45000,0,0.039999999999999994,0.06,0.0,0.12,0.0,0.02
50000,0,0.052000000000000005,0.08,0.0,0.12,0.0,0.06
35000,0,0.052000000000000005,0.0,0.0,0.2,0.0,0.06
40000,0,0.036,0.02,0.0,0.12,0.0,0.04
5000,10,0.364,0.4,0.62,0.36,0.08,0.36
20000,10,0.38,0.64,0.48,0.44,0.16,0.18
15000,10,0.38,0.48,0.58,0.44,0.24,0.16
10000,10,0.41200000000000003,0.46,0.66,0.52,0.18,0.24
30000,10,0.30400000000000005,0.22,0.54,0.38,0.14,0.24
25000,10,0.308,0.46,0.32,0.32,0.18,0.26
40000,10,0.296,0.46,0.4,0.3,0.16,0.16
35000,10,0.308,0.52,0.32,0.38,0.18,0.14
45000,10,0.24,0.44,0.18,0.36,0.06,0.16
50000,10,0.252,0.44,0.32,0.28,0.06,0.16
15000,20,0.476,0.52,0.78,0.66,0.34,0.08
40000,20,0.41600000000000004,0.48,0.6,0.52,0.18,0.3
5000,20,0.44400000000000006,0.54,0.58,0.54,0.24,0.32
35000,20,0.42800000000000005,0.58,0.46,0.62,0.24,0.24
10000,20,0.45200000000000007,0.58,0.68,0.46,0.32,0.22
20000,20,0.42000000000000004,0.52,0.72,0.52,0.16,0.18
30000,20,0.344,0.46,0.5,0.4,0.14,0.22
25000,20,0.396,0.46,0.54,0.42,0.26,0.3
50000,20,0.384,0.54,0.52,0.4,0.16,0.3
45000,20,0.356,0.58,0.5,0.4,0.12,0.18
15000,50,0.536,0.66,0.74,0.6,0.5,0.18
25000,50,0.54,0.58,0.68,0.5,0.52,0.42
10000,50,0.568,0.68,0.84,0.68,0.26,0.38
20000,50,0.52,0.68,0.76,0.54,0.4,0.22
5000,50,0.524,0.62,0.64,0.54,0.38,0.44
35000,50,0.4800000000000001,0.48,0.66,0.64,0.34,0.28
50000,50,0.45199999999999996,0.54,0.76,0.44,0.22,0.3
40000,50,0.532,0.68,0.64,0.46,0.44,0.44
45000,50,0.44400000000000006,0.62,0.52,0.46,0.44,0.18
30000,50,0.44399999999999995,0.58,0.6,0.44,0.22,0.38
5000,100,0.564,0.76,0.68,0.48,0.3,0.6
10000,100,0.5239999999999999,0.62,0.7,0.5,0.38,0.42
35000,100,0.6,0.68,0.72,0.6,0.62,0.38
45000,100,0.5199999999999999,0.68,0.58,0.62,0.38,0.34
25000,100,0.608,0.64,0.86,0.46,0.54,0.54
20000,100,0.576,0.74,0.7,0.68,0.38,0.38
40000,100,0.584,0.7,0.76,0.44,0.58,0.44
30000,100,0.5399999999999999,0.62,0.62,0.6,0.48,0.38
15000,100,0.5279999999999999,0.66,0.64,0.56,0.52,0.26
50000,100,0.5319999999999999,0.68,0.74,0.46,0.36,0.42
10000,200,0.584,0.68,0.74,0.7,0.42,0.38
20000,200,0.628,0.78,0.76,0.68,0.5,0.42
5000,200,0.56,0.56,0.72,0.54,0.4,0.58
25000,200,0.5680000000000001,0.62,0.62,0.56,0.56,0.48
15000,200,0.612,0.64,0.74,0.6,0.64,0.44
50000,200,0.524,0.6,0.68,0.46,0.34,0.54
30000,200,0.564,0.6,0.66,0.6,0.48,0.48
40000,200,0.588,0.7,0.74,0.52,0.52,0.46
35000,200,0.592,0.66,0.68,0.58,0.58,0.46
45000,200,0.568,0.74,0.54,0.52,0.58,0.46
