step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
25000,0,0.0,0.0,0.0,0.0,0.0,0.0
40000,10,0.0,0.0,0.0,0.0,0.0,0.0
30000,20,0.0,0.0,0.0,0.0,0.0,0.0
35000,10,0.0,0.0,0.0,0.0,0.0,0.0
20000,0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0,0.0,0.0,0.0,0.0,0.0,0.0
15000,10,0.0,0.0,0.0,0.0,0.0,0.0
15000,0,0.0,0.0,0.0,0.0,0.0,0.0
45000,10,0.0,0.0,0.0,0.0,0.0,0.0
45000,0,0.0,0.0,0.0,0.0,0.0,0.0
40000,20,0.0,0.0,0.0,0.0,0.0,0.0
10000,10,0.0,0.0,0.0,0.0,0.0,0.0
35000,0,0.0,0.0,0.0,0.0,0.0,0.0
40000,0,0.0,0.0,0.0,0.0,0.0,0.0
30000,10,0.0,0.0,0.0,0.0,0.0,0.0
20000,20,0.0,0.0,0.0,0.0,0.0,0.0
25000,10,0.0,0.0,0.0,0.0,0.0,0.0
30000,0,0.0,0.0,0.0,0.0,0.0,0.0
20000,10,0.0,0.0,0.0,0.0,0.0,0.0
5000,10,0.0,0.0,0.0,0.0,0.0,0.0
10000,0,0.0,0.0,0.0,0.0,0.0,0.0
25000,20,0.0,0.0,0.0,0.0,0.0,0.0
15000,20,0.0,0.0,0.0,0.0,0.0,0.0
50000,10,0.0,0.0,0.0,0.0,0.0,0.0
50000,0,0.0,0.0,0.0,0.0,0.0,0.0
45000,50,0.004,0.0,0.0,0.0,0.0,0.02
5000,20,0.0,0.0,0.0,0.0,0.0,0.0
10000,20,0.0,0.0,0.0,0.0,0.0,0.0
35000,20,0.0,0.0,0.0,0.0,0.0,0.0
45000,20,0.0,0.0,0.0,0.0,0.0,0.0
50000,20,0.0,0.0,0.0,0.0,0.0,0.0
10000,50,0.016,0.0,0.0,0.0,0.0,0.08
35000,50,0.0,0.0,0.0,0.0,0.0,0.0
15000,50,0.0,0.0,0.0,0.0,0.0,0.0
5000,50,0.008,0.0,0.0,0.0,0.0,0.04
20000,50,0.0,0.0,0.0,0.0,0.0,0.0
25000,50,0.0,0.0,0.0,0.0,0.0,0.0
40000,50,0.0,0.0,0.0,0.0,0.0,0.0
50000,50,0.0,0.0,0.0,0.0,0.0,0.0
30000,50,0.0,0.0,0.0,0.0,0.0,0.0
5000,100,0.02,0.0,0.0,0.06,0.0,0.04
50000,100,0.044,0.0,0.0,0.06,0.0,0.16
30000,100,0.036,0.0,0.0,0.08,0.0,0.1
10000,100,0.048,0.0,0.0,0.06,0.0,0.18
40000,100,0.052000000000000005,0.0,0.0,0.08,0.0,0.18
20000,100,0.02,0.0,0.0,0.06,0.0,0.04
25000,100,0.044,0.0,0.0,0.12,0.0,0.1
35000,100,0.068,0.0,0.0,0.06,0.0,0.28
15000,100,0.02,0.0,0.0,0.02,0.0,0.08
45000,100,0.064,0.0,0.0,0.06,0.0,0.26
5000,200,0.06799999999999999,0.0,0.0,0.12,0.0,0.22
35000,200,0.08800000000000001,0.0,0.0,0.16,0.0,0.28
20000,200,0.036,0.0,0.0,0.08,0.0,0.1
45000,200,0.132,0.0,0.0,0.2,0.0,0.46
15000,200,0.016,0.0,0.0,0.04,0.0,0.04
25000,200,0.088,0.02,0.0,0.24,0.0,0.18
30000,200,0.08,0.0,0.0,0.1,0.0,0.3
10000,200,0.10400000000000001,0.02,0.0,0.2,0.0,0.3
40000,200,0.072,0.0,0.0,0.1,0.0,0.26
50000,200,0.096,0.0,0.0,0.18,0.0,0.3
