step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,0,0.07600000000000001,0.08,0.02,0.18,0.02,0.08
10000,0,0.07600000000000001,0.08,0.02,0.18,0.02,0.08
10000,10,0.272,0.34,0.2,0.38,0.1,0.34
5000,10,0.272,0.34,0.2,0.38,0.1,0.34
10000,20,0.364,0.42,0.44,0.48,0.06,0.42
5000,20,0.364,0.42,0.44,0.48,0.06,0.42
5000,50,0.372,0.4,0.4,0.46,0.08,0.52
10000,50,0.372,0.4,0.4,0.46,0.08,0.52
5000,100,0.41200000000000003,0.5,0.44,0.46,0.08,0.58
10000,100,0.41200000000000003,0.5,0.44,0.46,0.08,0.58
10000,200,0.43200000000000005,0.52,0.52,0.46,0.04,0.62
5000,200,0.43200000000000005,0.52,0.52,0.46,0.04,0.62
