step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
10000,0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0,0.0,0.0,0.0,0.0,0.0,0.0
5000,10,0.0,0.0,0.0,0.0,0.0,0.0
10000,10,0.0,0.0,0.0,0.0,0.0,0.0
5000,20,0.004,0.0,0.0,0.02,0.0,0.0
10000,20,0.032,0.0,0.0,0.06,0.0,0.1
5000,50,0.096,0.04,0.02,0.1,0.0,0.32
10000,50,0.16,0.08,0.0,0.36,0.0,0.36
5000,100,0.18,0.12,0.0,0.24,0.0,0.54
10000,100,0.312,0.32,0.08,0.54,0.02,0.6
5000,200,0.26,0.18,0.04,0.42,0.0,0.66
10000,200,0.368,0.4,0.1,0.58,0.06,0.7
