step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0,0.0,0.0,0.0,0.0,0.0,0.0
5000,10,0.008,0.0,0.0,0.04,0.0,0.0
10000,10,0.012,0.0,0.0,0.06,0.0,0.0
10000,20,0.032,0.0,0.06,0.06,0.0,0.04
5000,20,0.036,0.0,0.02,0.06,0.0,0.1
5000,50,0.21200000000000002,0.1,0.28,0.34,0.0,0.34
10000,50,0.17600000000000002,0.06,0.12,0.22,0.02,0.46
10000,100,0.34,0.28,0.3,0.48,0.0,0.64
5000,100,0.34,0.16,0.26,0.52,0.04,0.72
5000,200,0.44800000000000006,0.52,0.38,0.68,0.02,0.64
10000,200,0.404,0.38,0.44,0.62,0.0,0.58
