step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
10000,0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0,0.0,0.0,0.0,0.0,0.0,0.0
5000,10,0.064,0.0,0.0,0.08,0.0,0.24
10000,10,0.0,0.0,0.0,0.0,0.0,0.0
5000,20,0.188,0.04,0.0,0.34,0.0,0.56
10000,20,0.048,0.0,0.0,0.02,0.0,0.22
5000,50,0.192,0.08,0.0,0.38,0.0,0.5
10000,50,0.20800000000000002,0.0,0.0,0.38,0.0,0.66
5000,100,0.236,0.04,0.0,0.36,0.0,0.78
10000,100,0.20400000000000001,0.02,0.0,0.36,0.0,0.64
5000,200,0.22400000000000003,0.06,0.0,0.52,0.0,0.54
10000,200,0.21200000000000002,0.0,0.0,0.5,0.0,0.56
