step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
10000,0,0.188,0.3,0.1,0.18,0.0,0.36
5000,0,0.2,0.3,0.18,0.22,0.02,0.28
5000,10,0.004,0.0,0.0,0.0,0.0,0.02
10000,20,0.0,0.0,0.0,0.0,0.0,0.0
5000,20,0.004,0.0,0.0,0.02,0.0,0.0
5000,50,0.044,0.0,0.08,0.04,0.0,0.1
10000,50,0.032,0.02,0.02,0.06,0.0,0.06
10000,100,0.032,0.0,0.04,0.1,0.0,0.02
5000,100,0.036,0.0,0.02,0.06,0.0,0.1
5000,200,0.036,0.0,0.06,0.1,0.0,0.02
10000,200,0.004,0.0,0.0,0.0,0.0,0.02
