step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,0,0.02,0.0,0.0,0.04,0.02,0.04
10000,0,0.06,0.0,0.0,0.12,0.0,0.18
5000,10,0.2,0.28,0.04,0.36,0.02,0.3
10000,10,0.128,0.0,0.04,0.32,0.0,0.28
5000,20,0.296,0.32,0.34,0.32,0.02,0.48
10000,20,0.296,0.38,0.22,0.48,0.0,0.4
5000,50,0.42799999999999994,0.58,0.58,0.46,0.0,0.52
10000,50,0.4760000000000001,0.5,0.58,0.66,0.04,0.6
5000,100,0.44000000000000006,0.58,0.54,0.42,0.0,0.66
10000,100,0.476,0.58,0.6,0.48,0.1,0.62
10000,200,0.508,0.48,0.64,0.72,0.08,0.62
5000,200,0.4600000000000001,0.46,0.62,0.58,0.04,0.6
