step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,10,0.35200000000000004,0.4,0.46,0.36,0.02,0.52
20000,0,0.2,0.24,0.28,0.32,0.0,0.16
30000,10,0.41600000000000004,0.46,0.54,0.5,0.0,0.58
25000,0,0.096,0.06,0.12,0.14,0.0,0.16
5000,0,0.06799999999999999,0.08,0.04,0.12,0.0,0.1
20000,10,0.41600000000000004,0.52,0.54,0.34,0.0,0.68
30000,0,0.164,0.14,0.38,0.12,0.02,0.16
20000,20,0.392,0.44,0.54,0.4,0.0,0.58
25000,10,0.44400000000000006,0.56,0.48,0.52,0.0,0.66
10000,10,0.36800000000000005,0.44,0.38,0.36,0.0,0.66
35000,0,0.14400000000000002,0.18,0.28,0.1,0.0,0.16
15000,0,0.11600000000000002,0.08,0.12,0.12,0.0,0.26
35000,10,0.40800000000000003,0.42,0.6,0.36,0.0,0.66
40000,0,0.1,0.02,0.12,0.12,0.0,0.24
10000,0,0.088,0.06,0.08,0.18,0.0,0.12
40000,10,0.4,0.5,0.46,0.4,0.0,0.64
15000,10,0.316,0.32,0.32,0.34,0.0,0.6
45000,0,0.144,0.12,0.28,0.12,0.0,0.2
50000,0,0.11200000000000002,0.14,0.14,0.08,0.0,0.2
45000,10,0.41600000000000004,0.44,0.54,0.36,0.02,0.72
50000,10,0.388,0.46,0.48,0.42,0.0,0.58
5000,20,0.41200000000000003,0.42,0.5,0.46,0.04,0.64
25000,20,0.41600000000000004,0.4,0.54,0.52,0.02,0.6
35000,20,0.42400000000000004,0.64,0.42,0.42,0.0,0.64
15000,20,0.42400000000000004,0.52,0.46,0.46,0.0,0.68
10000,20,0.4,0.44,0.6,0.36,0.0,0.6
40000,20,0.42800000000000005,0.42,0.58,0.48,0.02,0.64
30000,20,0.45600000000000007,0.5,0.62,0.48,0.0,0.68
45000,20,0.44399999999999995,0.4,0.58,0.4,0.02,0.82
50000,20,0.40800000000000003,0.46,0.38,0.56,0.0,0.64
10000,50,0.4640000000000001,0.5,0.54,0.52,0.0,0.76
25000,50,0.4840000000000001,0.56,0.64,0.54,0.02,0.66
15000,50,0.44000000000000006,0.52,0.5,0.46,0.0,0.72
5000,50,0.41200000000000003,0.48,0.48,0.48,0.02,0.6
30000,50,0.476,0.6,0.54,0.5,0.02,0.72
50000,50,0.45200000000000007,0.54,0.54,0.5,0.0,0.68
20000,50,0.45200000000000007,0.42,0.62,0.48,0.06,0.68
40000,50,0.4720000000000001,0.46,0.62,0.58,0.0,0.7
35000,50,0.43600000000000005,0.5,0.64,0.36,0.02,0.66
45000,50,0.43600000000000005,0.46,0.6,0.44,0.04,0.64
10000,100,0.44399999999999995,0.54,0.48,0.44,0.0,0.76
5000,100,0.45200000000000007,0.52,0.64,0.54,0.0,0.56
20000,100,0.45600000000000007,0.5,0.58,0.46,0.02,0.72
15000,100,0.376,0.38,0.52,0.36,0.0,0.62
25000,100,0.43200000000000005,0.4,0.76,0.38,0.0,0.62
45000,100,0.43599999999999994,0.54,0.54,0.4,0.0,0.7
35000,100,0.44800000000000006,0.58,0.46,0.38,0.04,0.78
30000,100,0.42800000000000005,0.38,0.66,0.42,0.0,0.68
50000,100,0.5120000000000001,0.56,0.62,0.62,0.02,0.74
40000,100,0.44399999999999995,0.54,0.52,0.42,0.0,0.74
10000,200,0.40800000000000003,0.48,0.44,0.34,0.02,0.76
5000,200,0.44800000000000006,0.54,0.46,0.5,0.02,0.72
20000,200,0.45200000000000007,0.5,0.64,0.52,0.02,0.58
15000,200,0.404,0.38,0.5,0.38,0.0,0.76
25000,200,0.44000000000000006,0.48,0.64,0.38,0.0,0.7
35000,200,0.4640000000000001,0.46,0.58,0.5,0.0,0.78
30000,200,0.4640000000000001,0.52,0.76,0.38,0.02,0.64
40000,200,0.44399999999999995,0.48,0.6,0.42,0.0,0.72
50000,200,0.45199999999999996,0.44,0.62,0.48,0.0,0.72
45000,200,0.392,0.42,0.54,0.36,0.0,0.64
