step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,0,0.092,0.04,0.0,0.3,0.0,0.12
10000,0,0.084,0.04,0.02,0.26,0.0,0.1
15000,0,0.052000000000000005,0.0,0.0,0.2,0.0,0.06
5000,10,0.58,0.64,0.54,0.44,0.46,0.82
20000,0,0.064,0.06,0.02,0.2,0.0,0.04
10000,10,0.624,0.66,0.68,0.58,0.4,0.8
25000,0,0.096,0.02,0.0,0.36,0.0,0.1
15000,10,0.624,0.62,0.62,0.52,0.58,0.78
30000,0,0.08,0.02,0.0,0.26,0.0,0.12
20000,10,0.6279999999999999,0.68,0.6,0.62,0.48,0.76
5000,20,0.52,0.58,0.52,0.44,0.44,0.62
35000,0,0.11199999999999999,0.02,0.02,0.36,0.0,0.16
25000,10,0.5960000000000001,0.54,0.58,0.56,0.56,0.74
40000,0,0.096,0.0,0.02,0.36,0.0,0.1
10000,20,0.6359999999999999,0.56,0.7,0.62,0.56,0.74
30000,10,0.548,0.6,0.6,0.46,0.44,0.64
45000,0,0.096,0.06,0.04,0.28,0.0,0.1
15000,20,0.648,0.62,0.76,0.58,0.52,0.76
35000,10,0.592,0.58,0.66,0.52,0.5,0.7
50000,0,0.10400000000000001,0.02,0.0,0.36,0.0,0.14
40000,10,0.5880000000000001,0.6,0.62,0.5,0.48,0.74
20000,20,0.6359999999999999,0.68,0.7,0.52,0.48,0.8
45000,10,0.58,0.5,0.62,0.46,0.48,0.84
25000,20,0.64,0.7,0.62,0.6,0.58,0.7
50000,10,0.652,0.68,0.68,0.54,0.5,0.86
30000,20,0.604,0.72,0.66,0.54,0.42,0.68
35000,20,0.5880000000000001,0.56,0.68,0.52,0.48,0.7
5000,50,0.592,0.66,0.66,0.56,0.38,0.7
40000,20,0.5640000000000001,0.6,0.52,0.52,0.5,0.68
45000,20,0.6360000000000001,0.54,0.68,0.58,0.6,0.78
10000,50,0.652,0.62,0.62,0.56,0.56,0.9
50000,20,0.616,0.62,0.68,0.62,0.46,0.7
15000,50,0.624,0.72,0.7,0.38,0.54,0.78
20000,50,0.6519999999999999,0.74,0.78,0.44,0.54,0.76
25000,50,0.6199999999999999,0.62,0.64,0.42,0.5,0.92
30000,50,0.656,0.7,0.76,0.56,0.56,0.7
35000,50,0.544,0.62,0.6,0.48,0.38,0.64
40000,50,0.6599999999999999,0.74,0.76,0.52,0.5,0.78
5000,100,0.6120000000000001,0.64,0.52,0.5,0.62,0.78
45000,50,0.6279999999999999,0.72,0.68,0.58,0.46,0.7
50000,50,0.5720000000000001,0.62,0.6,0.48,0.36,0.8
10000,100,0.624,0.7,0.64,0.5,0.54,0.74
15000,100,0.624,0.56,0.62,0.6,0.52,0.82
20000,100,0.592,0.6,0.66,0.48,0.5,0.72
25000,100,0.6639999999999999,0.62,0.78,0.56,0.5,0.86
30000,100,0.6279999999999999,0.6,0.7,0.52,0.58,0.74
35000,100,0.616,0.7,0.76,0.5,0.42,0.7
40000,100,0.6439999999999999,0.7,0.76,0.58,0.32,0.86
45000,100,0.6559999999999999,0.62,0.66,0.58,0.58,0.84
50000,100,0.592,0.62,0.68,0.56,0.52,0.58
5000,200,0.5599999999999999,0.68,0.54,0.5,0.36,0.72
10000,200,0.6559999999999999,0.62,0.72,0.58,0.54,0.82
15000,200,0.596,0.54,0.76,0.58,0.48,0.62
