step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
30000,0,0.004,0.0,0.0,0.02,0.0,0.0
20000,0,0.004,0.0,0.0,0.02,0.0,0.0
5000,0,0.008,0.0,0.02,0.02,0.0,0.0
10000,0,0.0,0.0,0.0,0.0,0.0,0.0
15000,0,0.0,0.0,0.0,0.0,0.0,0.0
25000,0,0.0,0.0,0.0,0.0,0.0,0.0
30000,10,0.016,0.0,0.0,0.08,0.0,0.0
5000,10,0.06000000000000001,0.08,0.06,0.12,0.02,0.02
10000,10,0.036,0.04,0.06,0.04,0.02,0.02
15000,10,0.004,0.0,0.0,0.02,0.0,0.0
20000,10,0.024,0.02,0.02,0.06,0.02,0.0
25000,10,0.012,0.04,0.0,0.02,0.0,0.0
5000,20,0.068,0.06,0.06,0.14,0.06,0.02
25000,20,0.036,0.06,0.06,0.06,0.0,0.0
20000,20,0.04,0.06,0.02,0.12,0.0,0.0
15000,20,0.052000000000000005,0.02,0.08,0.14,0.0,0.02
30000,20,0.028000000000000004,0.0,0.02,0.1,0.0,0.02
10000,20,0.07200000000000001,0.14,0.12,0.06,0.02,0.02
5000,50,0.20800000000000002,0.18,0.26,0.28,0.26,0.06
20000,50,0.152,0.24,0.26,0.16,0.08,0.02
10000,50,0.24800000000000005,0.44,0.34,0.36,0.06,0.04
30000,50,0.148,0.18,0.3,0.16,0.04,0.06
25000,50,0.16,0.28,0.24,0.22,0.04,0.02
15000,50,0.10800000000000001,0.02,0.2,0.2,0.06,0.06
20000,100,0.22000000000000003,0.3,0.42,0.28,0.06,0.04
10000,100,0.248,0.4,0.34,0.26,0.18,0.06
25000,100,0.244,0.3,0.3,0.36,0.16,0.1
15000,100,0.22000000000000003,0.18,0.32,0.28,0.18,0.14
5000,100,0.276,0.2,0.4,0.44,0.24,0.1
30000,100,0.236,0.24,0.44,0.3,0.18,0.02
25000,200,0.272,0.4,0.3,0.36,0.22,0.08
10000,200,0.31199999999999994,0.26,0.38,0.38,0.36,0.18
20000,200,0.22400000000000003,0.22,0.36,0.26,0.18,0.1
5000,200,0.324,0.34,0.48,0.34,0.28,0.18
15000,200,0.252,0.16,0.42,0.28,0.22,0.18
30000,200,0.27599999999999997,0.24,0.42,0.38,0.22,0.12
