step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,0,0.05600000000000001,0.0,0.02,0.08,0.0,0.18
10000,0,0.11600000000000002,0.0,0.0,0.3,0.0,0.28
15000,0,0.076,0.0,0.06,0.3,0.0,0.02
10000,10,0.5680000000000001,0.66,0.64,0.52,0.36,0.66
25000,0,0.06799999999999999,0.0,0.0,0.24,0.0,0.1
20000,0,0.06,0.0,0.06,0.06,0.0,0.18
5000,10,0.568,0.56,0.66,0.42,0.4,0.8
15000,10,0.532,0.48,0.52,0.58,0.38,0.7
20000,10,0.532,0.54,0.64,0.48,0.32,0.68
35000,0,0.052000000000000005,0.02,0.0,0.24,0.0,0.0
30000,0,0.07600000000000001,0.02,0.0,0.28,0.0,0.08
25000,10,0.476,0.4,0.56,0.54,0.22,0.66
5000,20,0.5720000000000001,0.52,0.6,0.5,0.46,0.78
10000,20,0.604,0.54,0.6,0.72,0.48,0.68
30000,10,0.5,0.46,0.54,0.58,0.36,0.56
35000,10,0.45200000000000007,0.6,0.46,0.54,0.26,0.4
20000,20,0.5599999999999999,0.64,0.58,0.5,0.26,0.82
15000,20,0.516,0.5,0.58,0.52,0.42,0.56
25000,20,0.548,0.54,0.58,0.56,0.28,0.78
35000,20,0.552,0.52,0.68,0.62,0.32,0.62
30000,20,0.536,0.62,0.64,0.42,0.34,0.66
10000,50,0.6439999999999999,0.74,0.62,0.66,0.42,0.78
5000,50,0.568,0.58,0.66,0.5,0.4,0.7
30000,50,0.6359999999999999,0.66,0.66,0.62,0.54,0.7
35000,50,0.488,0.4,0.54,0.56,0.36,0.58
15000,50,0.532,0.6,0.5,0.52,0.36,0.68
25000,50,0.5720000000000001,0.66,0.62,0.42,0.4,0.76
20000,50,0.6,0.68,0.56,0.52,0.48,0.76
5000,100,0.6519999999999999,0.64,0.66,0.62,0.56,0.78
20000,100,0.616,0.58,0.76,0.5,0.48,0.76
10000,100,0.6559999999999999,0.54,0.7,0.5,0.7,0.84
35000,100,0.56,0.62,0.66,0.56,0.34,0.62
30000,100,0.5680000000000001,0.46,0.64,0.66,0.42,0.66
15000,100,0.5599999999999999,0.56,0.68,0.46,0.38,0.72
25000,100,0.576,0.66,0.52,0.58,0.38,0.74
5000,200,0.544,0.54,0.56,0.54,0.42,0.66
10000,200,0.624,0.66,0.6,0.64,0.52,0.7
20000,200,0.56,0.54,0.6,0.54,0.3,0.82
35000,200,0.5799999999999998,0.7,0.54,0.58,0.36,0.72
25000,200,0.556,0.7,0.56,0.5,0.34,0.68
15000,200,0.584,0.66,0.72,0.4,0.44,0.7
30000,200,0.64,0.54,0.7,0.62,0.54,0.8
