step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
350000,20,0.7639999999999999,0.62,0.7,0.82,0.86,0.82
400000,20,0.7519999999999999,0.58,0.72,0.84,0.8,0.82
450000,20,0.768,0.76,0.68,0.82,0.82,0.76
300000,20,0.772,0.68,0.56,0.92,0.82,0.88
500000,20,0.7319999999999999,0.7,0.72,0.72,0.82,0.7
300000,50,0.796,0.88,0.76,0.8,0.78,0.76
500000,10,0.5599999999999999,0.74,0.58,0.58,0.52,0.38
350000,50,0.7959999999999999,0.76,0.7,0.9,0.86,0.76
400000,50,0.7959999999999999,0.86,0.7,0.88,0.82,0.72
450000,10,0.576,0.7,0.62,0.62,0.48,0.46
300000,100,0.808,0.72,0.88,0.8,0.84,0.8
300000,10,0.64,0.6,0.66,0.62,0.66,0.66
400000,10,0.596,0.64,0.66,0.56,0.56,0.56
450000,0,0.188,0.76,0.02,0.04,0.0,0.12
450000,100,0.8039999999999999,0.76,0.86,0.82,0.82,0.76
400000,100,0.7799999999999999,0.72,0.86,0.72,0.88,0.72
350000,10,0.6359999999999999,0.58,0.68,0.6,0.7,0.62
500000,100,0.8160000000000001,0.72,0.9,0.8,0.88,0.78
500000,0,0.144,0.66,0.0,0.0,0.0,0.06
350000,100,0.8240000000000001,0.72,0.86,0.86,0.94,0.74
400000,0,0.048,0.06,0.08,0.0,0.0,0.1
300000,0,0.036,0.0,0.08,0.0,0.0,0.1
500000,50,0.776,0.84,0.7,0.82,0.78,0.74
300000,200,0.82,0.74,0.88,0.86,0.92,0.7
450000,200,0.8560000000000001,0.8,0.9,0.88,0.96,0.74
500000,200,0.8320000000000001,0.74,0.86,0.9,0.94,0.72
400000,200,0.8400000000000001,0.74,0.9,0.84,0.94,0.78
350000,200,0.82,0.68,0.88,0.88,0.96,0.7
100000,20,0.844,0.82,0.76,0.92,0.84,0.88
150000,20,0.768,0.62,0.72,0.9,0.84,0.76
250000,20,0.752,0.66,0.56,0.84,0.84,0.86
200000,20,0.784,0.68,0.64,0.9,0.82,0.88
150000,10,0.732,0.56,0.84,0.62,0.78,0.86
50000,20,0.8320000000000001,0.8,0.72,0.92,0.84,0.88
100000,10,0.7,0.62,0.8,0.66,0.56,0.86
50000,10,0.688,0.4,0.84,0.8,0.5,0.9
200000,10,0.676,0.68,0.82,0.64,0.56,0.68
50000,0,0.0,0.0,0.0,0.0,0.0,0.0
250000,10,0.656,0.7,0.8,0.66,0.62,0.5
150000,0,0.192,0.58,0.26,0.12,0.0,0.0
350000,0,0.012,0.0,0.04,0.0,0.0,0.02
150000,50,0.772,0.68,0.66,0.9,0.84,0.78
100000,50,0.8240000000000001,0.86,0.7,0.92,0.8,0.84
50000,50,0.8,0.86,0.68,0.9,0.72,0.84
100000,0,0.0,0.0,0.0,0.0,0.0,0.0
250000,0,0.148,0.42,0.2,0.12,0.0,0.0
200000,0,0.11200000000000002,0.34,0.0,0.18,0.0,0.04
200000,50,0.8,0.86,0.7,0.88,0.8,0.76
250000,50,0.7799999999999999,0.88,0.68,0.84,0.78,0.72
200000,100,0.8240000000000001,0.7,0.86,0.88,0.84,0.84
450000,50,0.828,0.9,0.76,0.86,0.86,0.76
100000,100,0.7999999999999999,0.6,0.84,0.84,0.84,0.88
50000,100,0.836,0.72,0.9,0.82,0.88,0.86
250000,100,0.804,0.78,0.8,0.82,0.8,0.82
150000,100,0.8039999999999999,0.6,0.86,0.86,0.88,0.82
200000,200,0.844,0.68,0.86,0.86,0.96,0.86
250000,200,0.852,0.86,0.88,0.88,0.9,0.74
50000,200,0.8560000000000001,0.66,0.86,0.94,0.92,0.9
100000,200,0.8480000000000001,0.68,0.86,0.92,0.92,0.86
150000,200,0.8400000000000001,0.74,0.88,0.88,0.92,0.78
