step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
50000,0,0.24,1.0,0.2,0.0,0.0,0.0
100000,0,0.304,1.0,0.52,0.0,0.0,0.0
250000,0,0.24,1.0,0.2,0.0,0.0,0.0
300000,0,0.22000000000000003,0.76,0.1,0.0,0.0,0.24
150000,0,0.264,1.0,0.32,0.0,0.0,0.0
200000,0,0.236,1.0,0.18,0.0,0.0,0.0
350000,0,0.22399999999999998,0.58,0.3,0.0,0.0,0.24
450000,0,0.144,0.4,0.32,0.0,0.0,0.0
500000,0,0.176,0.72,0.16,0.0,0.0,0.0
100000,10,0.376,0.98,0.9,0.0,0.0,0.0
50000,10,0.236,1.0,0.16,0.0,0.0,0.02
150000,10,0.288,1.0,0.44,0.0,0.0,0.0
200000,10,0.268,1.0,0.34,0.0,0.0,0.0
350000,10,0.27199999999999996,0.58,0.2,0.0,0.0,0.58
250000,10,0.284,1.0,0.26,0.0,0.0,0.16
300000,10,0.324,0.68,0.46,0.0,0.0,0.48
450000,10,0.196,0.48,0.3,0.0,0.0,0.2
500000,10,0.26,0.58,0.42,0.0,0.0,0.3
100000,20,0.4,1.0,1.0,0.0,0.0,0.0
150000,20,0.348,1.0,0.72,0.0,0.0,0.02
200000,20,0.328,1.0,0.56,0.0,0.0,0.08
50000,20,0.252,1.0,0.16,0.0,0.0,0.1
300000,20,0.396,0.6,0.64,0.0,0.0,0.74
250000,20,0.33599999999999997,1.0,0.36,0.0,0.0,0.32
350000,20,0.312,0.68,0.26,0.0,0.0,0.62
450000,20,0.21600000000000003,0.54,0.22,0.0,0.0,0.32
500000,20,0.3,0.68,0.44,0.0,0.0,0.38
300000,50,0.516,0.76,0.94,0.0,0.0,0.88
100000,50,0.46799999999999997,1.0,1.0,0.0,0.0,0.34
200000,50,0.46399999999999997,1.0,0.74,0.0,0.0,0.58
250000,50,0.484,1.0,0.58,0.0,0.0,0.84
150000,50,0.40800000000000003,1.0,0.64,0.0,0.0,0.4
350000,50,0.42400000000000004,0.76,0.7,0.0,0.0,0.66
50000,50,0.33599999999999997,1.0,0.16,0.0,0.0,0.52
450000,50,0.288,0.6,0.34,0.0,0.0,0.5
500000,50,0.34400000000000003,0.64,0.4,0.0,0.0,0.68
250000,100,0.496,1.0,0.64,0.0,0.0,0.84
300000,100,0.512,0.8,0.88,0.0,0.02,0.86
350000,100,0.472,0.78,0.96,0.0,0.0,0.62
100000,100,0.40800000000000003,1.0,1.0,0.0,0.0,0.04
150000,100,0.372,1.0,0.72,0.0,0.0,0.14
50000,100,0.27999999999999997,1.0,0.26,0.0,0.0,0.14
200000,100,0.392,1.0,0.5,0.0,0.0,0.46
450000,100,0.27999999999999997,0.44,0.28,0.0,0.0,0.68
500000,100,0.34,0.64,0.5,0.0,0.0,0.56
100000,200,0.41600000000000004,0.98,1.0,0.0,0.0,0.1
250000,200,0.504,1.0,0.6,0.0,0.0,0.92
300000,200,0.488,0.72,0.86,0.0,0.0,0.86
200000,200,0.4680000000000001,1.0,0.68,0.0,0.0,0.66
500000,200,0.36400000000000005,0.68,0.5,0.0,0.0,0.64
350000,200,0.44800000000000006,0.68,0.98,0.0,0.0,0.58
50000,200,0.31999999999999995,1.0,0.18,0.0,0.0,0.42
150000,200,0.376,1.0,0.8,0.0,0.0,0.08
450000,200,0.388,0.6,0.68,0.0,0.0,0.66
400000,0,0.148,0.4,0.28,0.0,0.0,0.06
400000,10,0.22000000000000003,0.56,0.32,0.0,0.0,0.22
400000,20,0.18,0.46,0.28,0.0,0.0,0.16
400000,50,0.248,0.54,0.38,0.0,0.0,0.32
400000,100,0.316,0.46,0.66,0.0,0.0,0.46
400000,200,0.352,0.68,0.78,0.0,0.0,0.3
